workload,pue,wue,annual_power_mwh,annual_water_mgal,electricity_cost_musd,water_cost_musd,opex_musd,capex_usd
training,1.1,0.07,569331.9448262197,9.57205143216894,26.04124315635129,0.0957205143216894,31.13696367067298,406250000.0
training,1.08,1.73,558980.4549202884,236.56641396646089,25.567766008053997,2.365664139664609,32.9334301477186,406250000.0
training,1.38,1.05,714252.8035092574,143.5807714825341,32.66992323251344,1.4358077148253408,39.105730947338785,406250000.0
training,1.27,1.99,657319.6090266355,272.1197478573741,30.065798916878308,2.7211974785737407,37.78699639545205,406250000.0
training,1.46,2.37,755658.7631329824,324.08231277486266,34.563831825702614,3.2408231277486266,42.80465495345124,406250000.0
training,1.38,0.014,714252.8035092574,1.9144102864337877,32.66992323251344,0.01914410286433788,37.68906733537778,406250000.0
training,1.46,0.02,755658.7631329824,2.734871837762554,34.563831825702614,0.02734871837762554,39.591180544080245,406250000.0
training,1.66,2.66,859173.6621922951,363.73795442241965,39.29860330867558,3.6373795442241965,47.93598285289978,406250000.0
training,1.62,0.025,838470.6823804327,3.4185897972031927,38.351649012081,0.03418589797203193,43.38583491005303,406250000.0
training,1.86,0.025,962688.561251608,3.4185897972031927,44.033374791648555,0.03418589797203193,49.067560689620585,406250000.0
