workload,bound,pair_idx,pue,wue,annual_power_mwh,annual_water_mgal,electricity_cost_musd,water_cost_musd,opex_musd,capex_usd
training,efficient,0,1.1,0.07,569331.9448262197,9.57205143216894,26.04124315635129,0.0957205143216894,31.13696367067298,406250000.0
training,efficient,1,1.08,1.73,558980.4549202884,236.56641396646089,25.567766008053997,2.365664139664609,32.9334301477186,406250000.0
training,efficient,2,1.38,1.05,714252.8035092574,143.5807714825341,32.66992323251344,1.4358077148253408,39.105730947338785,406250000.0
training,efficient,3,1.27,1.99,657319.6090266355,272.1197478573741,30.065798916878308,2.7211974785737407,37.78699639545205,406250000.0
training,efficient,4,1.46,2.37,755658.7631329824,324.08231277486266,34.563831825702614,3.2408231277486266,42.80465495345124,406250000.0
training,efficient,5,1.38,0.014,714252.8035092574,1.9144102864337877,32.66992323251344,0.01914410286433788,37.68906733537778,406250000.0
training,efficient,6,1.46,0.02,755658.7631329824,2.734871837762554,34.563831825702614,0.02734871837762554,39.591180544080245,406250000.0
training,efficient,7,1.66,2.66,859173.6621922951,363.73795442241965,39.29860330867558,3.6373795442241965,47.93598285289978,406250000.0
training,efficient,8,1.62,0.025,838470.6823804327,3.4185897972031927,38.351649012081,0.03418589797203193,43.38583491005303,406250000.0
training,efficient,9,1.86,0.025,962688.561251608,3.4185897972031927,44.033374791648555,0.03418589797203193,49.067560689620585,406250000.0
training,inefficient,0,1.2,0.52,621089.394355876,71.1066677818264,28.40862889783777,0.7110666778182642,34.11969557565603,406250000.0
training,inefficient,1,1.19,2.6,615913.6494029104,355.533338909132,28.171890323689123,3.55533338909132,36.72722371278044,406250000.0
training,inefficient,2,1.65,2.12,853997.9172393295,289.89641480283075,39.06186473452694,2.8989641480283077,46.96082888255525,406250000.0
training,inefficient,3,1.5,2.98,776361.742944845,407.4959038266206,35.51078612229721,4.074959038266206,44.58574516056342,406250000.0
training,inefficient,4,1.74,3.54,900579.6218160202,484.07231528397205,41.19251190186477,4.84072315283972,51.033235054704484,406250000.0
training,inefficient,5,1.59,0.055,822943.4475215357,7.520897553847023,37.64143328963504,0.07520897553847022,42.71664226517351,406250000.0
training,inefficient,6,1.79,0.1,926458.3465808483,13.67435918881277,42.376204772608006,0.1367435918881277,47.51294836449613,406250000.0
training,inefficient,7,1.97,4.01,1019621.7557342298,548.3418034713922,46.63749910728367,5.483418034713922,57.1209171419976,406250000.0
training,inefficient,8,1.92,0.103,993743.0309694016,14.084589964477152,45.45380623654043,0.14084589964477154,50.594652136185196,406250000.0
training,inefficient,9,2.28,0.103,1180069.8492761643,14.084589964477152,53.97639490589176,0.14084589964477154,59.11724080553653,406250000.0
inference,efficient,0,1.1,0.07,639144.1578012866,10.745788650435943,29.23445377783085,0.10745788650435943,34.34191166433521,406250000.0
inference,efficient,1,1.08,1.73,627523.3549321722,265.5744909322026,28.702918254597556,2.6557449093220256,36.35866316391958,406250000.0
inference,efficient,2,1.38,1.05,801835.3979688867,161.18682975653917,36.67595110309687,1.6118682975653917,43.287819400662265,406250000.0
inference,efficient,3,1.27,1.99,737920.982188758,305.4874202052504,33.75250572531379,3.054874202052504,41.80737992736629,406250000.0
inference,efficient,4,1.46,2.37,848318.6094453437,363.8217014504741,38.80209319603003,3.638217014504741,47.44031021053477,406250000.0
inference,efficient,5,1.38,0.014,801835.3979688867,2.149157730087189,36.67595110309687,0.02149157730087189,41.69744268039774,406250000.0
inference,efficient,6,1.46,0.02,848318.6094453437,3.0702253286959835,38.80209319603003,0.030702253286959837,43.83279544931698,406250000.0
inference,efficient,7,1.66,2.66,964526.6381364868,408.33996871656586,44.117448428362906,4.083399687165659,53.20084811552856,406250000.0
inference,efficient,8,1.62,0.025,941285.0323982582,3.83778166086998,43.05437738189633,0.0383778166086998,48.09275519850503,406250000.0
inference,efficient,9,1.86,0.025,1080734.6668276298,3.83778166086998,49.43280366069579,0.0383778166086998,54.47118147730449,406250000.0
inference,inefficient,0,1.2,0.52,697248.172146858,79.82585854609557,31.892131393997285,0.7982585854609558,37.690389979458246,406250000.0
inference,inefficient,1,1.19,2.6,691437.7707123007,399.1292927304779,31.626363632380635,3.9912929273047792,40.617656559685415,406250000.0
inference,inefficient,2,1.65,2.12,958716.2367019296,325.44388484177426,43.85168066674626,3.254438848417743,52.106119515164,406250000.0
inference,inefficient,3,1.5,2.98,871560.2151835724,457.4635739757016,39.865164242496604,4.574635739757015,49.43979998225362,406250000.0
inference,inefficient,4,1.74,3.54,1011009.849612944,543.4298831791892,46.243590521296056,5.434298831791891,56.67788935308795,406250000.0
inference,inefficient,5,1.59,0.055,923853.8280945867,8.443119653913957,42.2570740970464,0.08443119653913957,47.34150529358554,406250000.0
inference,inefficient,6,1.79,0.1,1040061.8567857298,15.35112664347992,47.57242932937928,0.1535112664347992,52.72594059581408,406250000.0
inference,inefficient,7,1.97,4.01,1144649.0826077582,615.5801784035447,52.356249038478865,6.155801784035447,63.51205082251431,406250000.0
inference,inefficient,8,1.92,0.103,1115597.0754349725,15.811660442784314,51.027410230395645,0.15811660442784312,56.18552683482349,406250000.0
inference,inefficient,9,2.28,0.103,1324771.52707903,15.811660442784314,60.595049648594845,0.15811660442784312,65.75316625302268,406250000.0
