workload,pue,wue,annual_power_mwh,annual_water_mgal,electricity_cost_musd,water_cost_musd,opex_musd,capex_usd
inference,1.1,0.07,639144.1578012866,10.745788650435943,29.23445377783085,0.10745788650435943,34.34191166433521,406250000.0
inference,1.08,1.73,627523.3549321722,265.5744909322026,28.702918254597556,2.6557449093220256,36.35866316391958,406250000.0
inference,1.38,1.05,801835.3979688867,161.18682975653917,36.67595110309687,1.6118682975653917,43.287819400662265,406250000.0
inference,1.27,1.99,737920.982188758,305.4874202052504,33.75250572531379,3.054874202052504,41.80737992736629,406250000.0
inference,1.46,2.37,848318.6094453437,363.8217014504741,38.80209319603003,3.638217014504741,47.44031021053477,406250000.0
inference,1.38,0.014,801835.3979688867,2.149157730087189,36.67595110309687,0.02149157730087189,41.69744268039774,406250000.0
inference,1.46,0.02,848318.6094453437,3.0702253286959835,38.80209319603003,0.030702253286959837,43.83279544931698,406250000.0
inference,1.66,2.66,964526.6381364868,408.33996871656586,44.117448428362906,4.083399687165659,53.20084811552856,406250000.0
inference,1.62,0.025,941285.0323982582,3.83778166086998,43.05437738189633,0.0383778166086998,48.09275519850503,406250000.0
inference,1.86,0.025,1080734.6668276298,3.83778166086998,49.43280366069579,0.0383778166086998,54.47118147730449,406250000.0
