PUE,WUE,Climate Zone,Case,Quantile
1.49,3.00,3C,4,95th
1.51,3.00,4A,4,95th
1.53,2.99,4B,4,95th
1.50,2.99,4C,4,95th
1.51,2.99,5A,4,95th
1.53,2.99,5B,4,95th
1.50,2.99,6A,4,95th
1.52,2.98,6B,4,95th
1.50,2.98,7,4,95th
1.50,2.97,8,4,95th
1.79,3.74,1A,5,95th
1.78,3.69,2A,5,95th
1.77,3.64,2B,5,95th
1.77,3.64,3A,5,95th
1.76,3.60,3B,5,95th
1.75,3.62,3C,5,95th
1.75,3.61,4A,5,95th
1.78,3.58,4B,5,95th
1.75,3.59,4C,5,95th
1.75,3.59,5A,5,95th
1.77,3.56,5B,5,95th
1.74,3.56,6A,5,95th
1.76,3.54,6B,5,95th
1.74,3.54,7,5,95th
1.73,3.50,8,5,95th
2.25,0.074,1A,6,95th
2.02,0.062,2A,6,95th
2.06,0.053,2B,6,95th
1.78,0.052,3A,6,95th
1.98,0.064,3B,6,95th
1.60,0.037,3C,6,95th
1.70,0.048,4A,6,95th
1.71,0.058,4B,6,95th
1.55,0.021,4C,6,95th
1.65,0.048,5A,6,95th
1.68,0.055,5B,6,95th
1.61,0.052,6A,6,95th
1.58,0.046,6B,6,95th
1.59,0.055,7,6,95th
1.56,0.058,8,6,95th
2.45,0.10,1A,7,95th
2.25,0.10,2A,7,95th
2.44,0.10,2B,7,95th
2.10,0.10,3A,7,95th
2.25,0.10,3B,7,95th
1.91,0.10,3C,7,95th
1.99,0.10,4A,7,95th
2.03,0.10,4B,7,95th
1.86,0.10,4C,7,95th
1.92,0.10,5A,7,95th
1.96,0.10,5B,7,95th
1.87,0.10,6A,7,95th
1.85,0.10,6B,7,95th
1.79,0.10,7,7,95th
1.74,0.10,8,7,95th
2.08,4.29,1A,8,95th
2.05,4.22,2A,8,95th
2.03,4.15,2B,8,95th
2.02,4.15,3A,8,95th
2.01,4.09,3B,8,95th
2.00,4.11,3C,8,95th
2.00,4.11,4A,8,95th
2.02,4.05,4B,8,95th
1.99,4.08,4C,8,95th
1.99,4.07,5A,8,95th
2.02,4.03,5B,8,95th
1.98,4.03,6A,8,95th
1.99,4.01,6B,8,95th
1.97,4.01,7,8,95th
1.94,3.95,8,8,95th
2.69,0.103,1A,9,95th
2.45,0.103,2A,9,95th
2.68,0.103,2B,9,95th
2.27,0.103,3A,9,95th
2.46,0.103,3B,9,95th
2.05,0.103,3C,9,95th
2.14,0.103,4A,9,95th
2.19,0.103,4B,9,95th
1.99,0.103,4C,9,95th
2.05,0.103,5A,9,95th
2.11,0.103,5B,9,95th
2.00,0.103,6A,9,95th
1.99,0.103,6B,9,95th
1.92,0.103,7,9,95th
1.85,0.103,8,9,95th
2.52,0.103,1A,10,95th
2.45,0.103,2A,10,95th
2.57,0.103,2B,10,95th
2.39,0.103,3A,10,95th
2.49,0.103,3B,10,95th
2.28,0.103,3C,10,95th
2.35,0.103,4A,10,95th
2.38,0.103,4B,10,95th
2.28,0.103,4C,10,95th
2.33,0.103,5A,10,95th
2.36,0.103,5B,10,95th
2.31,0.103,6A,10,95th
2.31,0.103,6B,10,95th
2.28,0.103,7,10,95th
2.27,0.103,8,10,95th
